date,daily_pnl,fg_value,sentiment
2024-02-15,1840.797677,72,Greed
2024-02-16,5491.768834,72,Greed
2024-02-17,1929.6418,76,Extreme Greed
2024-02-18,477.6248299999999,72,Greed
2024-02-19,4317.768563,75,Extreme Greed
2024-02-20,3263.628824,72,Greed
2024-02-21,1858.7985700000002,78,Extreme Greed
2024-02-22,3894.1050699999996,74,Greed
2024-02-23,1418.55293,76,Extreme Greed
2024-02-25,-30.7705,74,Greed
2024-02-26,4416.8473,72,Greed
2024-02-27,888.511733,79,Extreme Greed
2024-02-28,2503.747235,82,Extreme Greed
2024-02-29,9813.996992,80,Extreme Greed
2024-03-01,8244.241409,80,Extreme Greed
2024-03-02,230.90060000000005,80,Extreme Greed
2024-03-03,8361.086245,83,Extreme Greed
2024-03-04,27799.775742,82,Extreme Greed
2024-03-05,19791.026041,90,Extreme Greed
2024-03-06,6814.825139,75,Extreme Greed
2024-03-08,4271.886236,81,Extreme Greed
2024-03-09,9949.501624,84,Extreme Greed
2024-03-10,2482.9272,79,Extreme Greed
2024-03-11,3588.179495,82,Extreme Greed
2024-03-12,3039.166,81,Extreme Greed
2024-03-14,3465.865832,88,Extreme Greed
2024-03-15,6236.513651,83,Extreme Greed
2024-03-16,228.57984,81,Extreme Greed
2024-03-17,503.293955,79,Extreme Greed
2024-03-18,1456.9577,77,Extreme Greed
2024-03-19,668.797973,79,Extreme Greed
2024-03-20,6423.134599,74,Greed
2024-03-21,2335.5080749999997,78,Extreme Greed
2024-03-24,1297.018477,74,Greed
2024-03-25,1302.916428,75,Extreme Greed
2024-03-26,3215.906593,81,Extreme Greed
2024-03-27,150.41114,83,Extreme Greed
2024-03-28,227.85100799999998,80,Extreme Greed
2024-03-29,883.097404,79,Extreme Greed
2024-03-30,1100.57514,75,Extreme Greed
2024-03-31,912.786145,75,Extreme Greed
2024-04-01,2507.963406,79,Extreme Greed
2024-04-02,883.760812,79,Extreme Greed
2024-04-03,126.7884,71,Greed
2024-04-05,10706.484306,79,Extreme Greed
2024-04-06,236.33513399999998,75,Extreme Greed
2024-04-08,1218.4267,76,Extreme Greed
2024-04-10,5207.443414,78,Extreme Greed
2024-04-11,389.743164,76,Extreme Greed
2024-04-12,-592.6458390000001,79,Extreme Greed
2024-04-13,6621.451755,72,Greed
2024-04-14,-36104.012520000004,72,Greed
2024-04-15,3774.08872,74,Greed
2024-04-16,2467.702221,65,Greed
2024-04-17,2441.4683999999997,67,Greed
2024-04-19,1946.4454620000001,66,Greed
2024-04-23,1119.536196,71,Greed
2024-04-24,279.185907,72,Greed
2024-04-27,4281.488139,67,Greed
2024-04-29,526.9338359999999,67,Greed
2024-05-03,5306.017045,48,Neutral
2024-05-05,0.916,69,Greed
2024-05-06,968.59038,71,Greed
2024-05-07,883.537693,68,Greed
2024-05-08,1.56576,64,Greed
2024-05-09,1147.595856,55,Greed
2024-05-10,2101.741695,66,Greed
2024-05-11,251.604742,53,Neutral
2024-05-13,2136.853859,57,Greed
2024-05-14,1150.5233050000002,66,Greed
2024-05-15,948.970582,64,Greed
2024-05-16,214.5898,70,Greed
2024-05-18,3522.3946610000003,73,Greed
2024-05-20,-74.818442,70,Greed
2024-05-21,7289.397571999999,76,Extreme Greed
2024-05-23,413.347329,76,Extreme Greed
2024-05-24,821.949278,74,Greed
2024-05-25,14.126038999999999,76,Extreme Greed
2024-05-26,778.6839,75,Extreme Greed
2024-05-27,1129.35587,74,Greed
2024-05-29,277.791953,72,Greed
2024-05-30,20.951433,73,Greed
2024-05-31,25.35812,73,Greed
2024-06-01,91.510419,72,Greed
2024-06-02,192.906947,73,Greed
2024-06-03,562.808208,73,Greed
2024-06-04,52.211438,73,Greed
2024-06-05,56.055506,75,Extreme Greed
2024-06-06,274.173187,78,Extreme Greed
2024-06-07,8902.467416,77,Extreme Greed
2024-06-08,129.13883900000002,72,Greed
2024-06-10,31.266804999999998,72,Greed
2024-06-11,4320.631811,74,Greed
2024-06-12,-21886.531493,72,Greed
2024-06-13,6632.757115,70,Greed
2024-06-14,10258.592609,74,Greed
2024-06-15,3369.958346,74,Greed
2024-06-17,10599.502375,71,Greed
2024-06-18,282.57636,74,Greed
2024-06-19,4887.656944,64,Greed
2024-06-20,57478.456026,60,Greed
2024-06-21,773.5582039999999,63,Greed
2024-06-22,756.876565,53,Neutral
2024-06-25,4869.353105,30,Fear
2024-06-26,4197.732182,46,Neutral
2024-06-29,6150.326145,30,Fear
2024-07-01,5065.839308,53,Neutral
2024-07-02,2421.253116,51,Neutral
2024-07-03,1118.387284,50,Neutral
2024-07-06,108.87217799999999,26,Fear
2024-07-07,61.428942,29,Fear
2024-07-09,648.984412,27,Fear
2024-07-10,11977.734907,28,Fear
2024-07-11,1876.812082,29,Fear
2024-07-12,1412.314654,25,Fear
2024-07-13,2913.617837,25,Fear
2024-07-15,-1.0,52,Neutral
2024-07-17,1859.269477,69,Greed
2024-07-18,3803.884311,61,Greed
2024-07-19,2155.891114,60,Greed
2024-07-20,2299.169566,74,Greed
2024-07-21,-2960.716887,74,Greed
2024-07-22,1517.119876,70,Greed
2024-07-23,89890.302206,71,Greed
2024-07-24,625.561479,69,Greed
2024-07-25,916.7382600000001,68,Greed
2024-07-26,2766.513113,68,Greed
2024-07-27,6400.623656,72,Greed
2024-07-28,587.29903,71,Greed
2024-07-29,330.80445399999996,74,Greed
2024-07-31,765.690884,61,Greed
2024-08-01,167.080017,52,Neutral
2024-08-02,782.3681909999999,57,Greed
2024-08-03,464.1897,37,Fear
2024-08-04,-122672.000883,34,Fear
2024-08-05,-13013.665169,26,Fear
2024-08-06,267.318048,17,Extreme Fear
2024-08-07,188.789255,29,Fear
2024-08-08,-40.712216999999995,20,Extreme Fear
2024-08-09,18082.071276,48,Neutral
2024-08-11,847.7766200000001,39,Fear
2024-08-12,858.6705000000001,25,Fear
2024-08-13,212.08102,31,Fear
2024-08-14,2168.9015130000003,30,Fear
2024-08-16,825.230544,27,Fear
2024-08-17,-288.283113,25,Fear
2024-08-18,307.201888,31,Fear
2024-08-19,339.69958299999996,28,Fear
2024-08-20,192.602844,30,Fear
2024-08-21,656.200925,26,Fear
2024-08-23,1005.30527,34,Fear
2024-08-26,231.236918,55,Greed
2024-08-28,1333.359645,30,Fear
2024-08-30,256.464,34,Fear
2024-08-31,10.882801,29,Fear
2024-09-01,137.433093,26,Fear
2024-09-04,1065.785132,27,Fear
2024-09-06,-1104.856765,22,Extreme Fear
2024-09-10,-219.729659,33,Fear
2024-09-18,-878.684794,45,Neutral
2024-09-20,9585.03428,54,Neutral
2024-09-21,36165.56933,54,Neutral
2024-09-23,334.760796,50,Neutral
2024-09-26,439.812513,50,Neutral
2024-09-30,2710.626288,61,Greed
2024-10-03,100.375782,37,Fear
2024-10-05,5767.161892,49,Neutral
2024-10-06,130.487079,50,Neutral
2024-10-08,5396.546638,49,Neutral
2024-10-09,396.06272,49,Neutral
2024-10-11,8885.327477,32,Fear
2024-10-12,541.55471,49,Neutral
2024-10-14,1913.61958,48,Neutral
2024-10-15,1170.2260760000001,65,Greed
2024-10-16,219.480876,73,Greed
2024-10-17,36.11496,71,Greed
2024-10-18,333.219141,73,Greed
2024-10-20,389.155797,73,Greed
2024-10-21,2464.915564,72,Greed
2024-10-23,-46.489941,71,Greed
2024-10-25,13235.862071,72,Greed
2024-10-27,666.6623079999999,74,Greed
2024-10-28,167.28016200000002,72,Greed
2024-10-29,801.170876,72,Greed
2024-10-30,9.150023,77,Extreme Greed
2024-10-31,1214.043811,77,Extreme Greed
2024-11-01,1040.475736,75,Extreme Greed
2024-11-04,2799.410474,70,Greed
2024-11-05,678.4759280000001,70,Greed
2024-11-06,2817.83723,70,Greed
2024-11-07,4493.353136,77,Extreme Greed
2024-11-08,-64.41354100000007,75,Extreme Greed
2024-11-09,102.90894,75,Extreme Greed
2024-11-10,991.114334,78,Extreme Greed
2024-11-11,6749.630996,76,Extreme Greed
2024-11-12,3494.399394,80,Extreme Greed
2024-11-13,7846.402274,84,Extreme Greed
2024-11-14,4563.509225,88,Extreme Greed
2024-11-15,4140.740438,80,Extreme Greed
2024-11-16,2769.521909,86,Extreme Greed
2024-11-17,882.975285,90,Extreme Greed
2024-11-18,4470.815187,83,Extreme Greed
2024-11-19,2958.268991,90,Extreme Greed
2024-11-20,4210.0928969999995,83,Extreme Greed
2024-11-21,1692.430891,82,Extreme Greed
2024-11-22,-18105.345617,94,Extreme Greed
2024-11-23,2901.531638,93,Extreme Greed
2024-11-24,945.550386,80,Extreme Greed
2024-11-25,5523.740734,82,Extreme Greed
2024-11-26,1094.809359,79,Extreme Greed
2024-11-27,-2654.495633,75,Extreme Greed
2024-11-28,-127075.39958499999,77,Extreme Greed
2024-11-29,176844.994152,78,Extreme Greed
2024-11-30,37316.69352,84,Extreme Greed
2024-12-01,40886.364494,81,Extreme Greed
2024-12-02,18489.604313,80,Extreme Greed
2024-12-03,23576.539285,76,Extreme Greed
2024-12-04,292891.815021,78,Extreme Greed
2024-12-05,71574.11848800001,84,Extreme Greed
2024-12-06,-92624.643895,72,Greed
2024-12-07,85906.279067,75,Extreme Greed
2024-12-08,15965.933436,79,Extreme Greed
2024-12-09,6310.967676,78,Extreme Greed
2024-12-10,39325.770231,78,Extreme Greed
2024-12-11,319051.554217,74,Greed
2024-12-12,599151.795008,83,Extreme Greed
2024-12-13,31935.901745,76,Extreme Greed
2024-12-14,167801.399244,83,Extreme Greed
2024-12-15,97525.315279,80,Extreme Greed
2024-12-16,166774.344133,83,Extreme Greed
2024-12-17,219591.305172,87,Extreme Greed
2024-12-18,13682.994673,81,Extreme Greed
